name,poi
BELDEN TIMOTHY N,0.022532128440199133
BOWEN JR RAYMOND M,0.04843600561319685
HANNON KEVIN P,0.21168187135748304
DELAINEY DAVID W,0.00013194976880475092
CAUSEY RICHARD A,0.24205533856824973
HICKERSON GARY J,0.07077500830970182
FREVERT MARK A,0.8492708364038302
CHAN RONNIE,0.00016134455139014446
DONAHUE JR JEFFREY M,0.004322928255711298
REYNOLDS LAWRENCE,0.0002130214736727741
HORTON STANLEY C,0.0002049121340792062
LEWIS RICHARD,6.289359869946485e-05
SHERRICK JEFFREY B,8.116421421144541e-05
MEYER JEROME J,6.44929653159412e-05
DERRICK JR. JAMES V,0.3345356778508782
PIRO JIM,6.329205856327146e-05
DETMERING TIMOTHY J,0.0003596533760124231
KISHKILL JOSEPH G,0.04779875515825349
BAY FRANKLIN R,0.003322288467408272
PRENTICE JAMES,6.328331410015556e-05
TOTAL,0.9946433108319132
FALLON JAMES B,0.07157133068383925
METTS MARK,0.000115012024797626
WODRASKA JOHN,0.00020121651823660691
MORDAUNT KRISTINA M,7.923650299782544e-05
CARTER REBECCA C,0.00018360263872111291
BHATNAGAR SANJAY,0.00023374682967148324
WALTERS GARETH W,0.00012647353880704623
BIBI PHILIPPE A,0.002003242373851082
SHERRIFF JOHN R,0.02711788351781918
GIBBS DANA R,6.315057441508257e-05
LINDHOLM TOD A,0.00023409511808401156
MCMAHON JEFFREY,0.6794465160155851
