name,poi
BELDEN TIMOTHY N,0.18891473439050122
BOWEN JR RAYMOND M,0.13421807112219336
HANNON KEVIN P,0.12013557727051487
DELAINEY DAVID W,0.09819473850327362
CAUSEY RICHARD A,0.12654998446199361
HICKERSON GARY J,0.11774064348436536
FREVERT MARK A,0.1764363153726198
CHAN RONNIE,0.10477902359134626
DONAHUE JR JEFFREY M,0.130099623715261
REYNOLDS LAWRENCE,0.10615850331591911
HORTON STANLEY C,0.11649446535999015
LEWIS RICHARD,0.1130703203415291
SHERRICK JEFFREY B,0.11348994339561368
MEYER JEROME J,0.10510596008908427
DERRICK JR. JAMES V,0.12376802021551767
PIRO JIM,0.10524305832952453
DETMERING TIMOTHY J,0.10618340834624239
KISHKILL JOSEPH G,0.1059701076224632
BAY FRANKLIN R,0.10573675921852388
PRENTICE JAMES,0.10542033844507383
TOTAL,0.5072478285580034
FALLON JAMES B,0.12425184778664614
METTS MARK,0.11557333210663208
WODRASKA JOHN,0.10540995799526753
MORDAUNT KRISTINA M,0.10555949487347573
CARTER REBECCA C,0.10941776725971093
BHATNAGAR SANJAY,0.11060848484989759
WALTERS GARETH W,0.10548943289680236
BIBI PHILIPPE A,0.12061833137462791
SHERRIFF JOHN R,0.12919582596295925
GIBBS DANA R,0.10581444098494738
LINDHOLM TOD A,0.1059739554700908
MCMAHON JEFFREY,0.13327138288979876
