name,poi
BELDEN TIMOTHY N,0.36814285714285716
BOWEN JR RAYMOND M,0.16585317460317459
HANNON KEVIN P,0.3772527472527472
DELAINEY DAVID W,0.07491666666666666
CAUSEY RICHARD A,0.43687698412698417
HICKERSON GARY J,0.20863095238095236
FREVERT MARK A,0.5406666666666666
CHAN RONNIE,0.022222222222222223
DONAHUE JR JEFFREY M,0.16476984126984123
REYNOLDS LAWRENCE,0.04793650793650794
HORTON STANLEY C,0.019166666666666665
LEWIS RICHARD,0.0
SHERRICK JEFFREY B,0.0
MEYER JEROME J,0.0
DERRICK JR. JAMES V,0.38966666666666666
PIRO JIM,0.0
DETMERING TIMOTHY J,0.22703571428571429
KISHKILL JOSEPH G,0.2525629925629925
BAY FRANKLIN R,0.2872222222222222
PRENTICE JAMES,0.01
TOTAL,0.82
FALLON JAMES B,0.3122336274836275
METTS MARK,0.07767676767676768
WODRASKA JOHN,0.043428571428571434
MORDAUNT KRISTINA M,0.0628989898989899
CARTER REBECCA C,0.0883809523809524
BHATNAGAR SANJAY,0.12088095238095238
WALTERS GARETH W,0.073
BIBI PHILIPPE A,0.10810606060606061
SHERRIFF JOHN R,0.2427777777777778
GIBBS DANA R,0.01
LINDHOLM TOD A,0.13866666666666666
MCMAHON JEFFREY,0.4846118326118327
